                        home_team                   away_team                    date  initial_odds_home  initial_draw_odds  initial_odds_away  initial_difference  actual_odds_home  draw_odds_actual  actual_odds_away  actual_difference
130    Universidad Catolica Quito                 Libertad FC   10/08/2024 (Saturday)               1.30               5.00               8.50                7.20              1.27              5.00             10.00               8.73
131                  Slavia Praha            SK Sigma Olomouc   10/08/2024 (Saturday)               1.13               7.75              14.00               12.87              1.14              7.00             14.50              13.36
132             Red Star Belgrade                  Novi Pazar   10/08/2024 (Saturday)               1.08               8.50              18.00               16.92              1.08              8.75             20.00              18.92
133                  Levski Sofia               FC Krumovgrad   10/08/2024 (Saturday)               1.18               6.25              12.50               11.32              1.15              6.50             16.00              14.85
134                    Fenerbahce             Adana Demirspor   10/08/2024 (Saturday)               1.08              10.50              16.00               14.92              1.14              8.75             14.50              13.36
135                 PSV Eindhoven                RKC Waalwijk   10/08/2024 (Saturday)               1.06              10.50              22.00               20.94              1.08             10.50             24.00              22.92
136                        Napoli                      Modena   10/08/2024 (Saturday)               1.15               6.75              14.50               13.35              1.14              7.25             13.50              12.36
137                      FC Porto                 Gil Vicente   10/08/2024 (Saturday)               1.20               5.75              13.00               11.80              1.17              7.00             15.00              13.83
138  Liga Deportiva Universitaria                Cumbaya F.C.   10/08/2024 (Saturday)               1.29               5.00               8.75                7.46              1.15              6.50             16.00              14.85
139             Atletico Nacional                Patriotas FC   10/08/2024 (Saturday)               1.35               4.20               8.25                6.90              1.36              4.20              8.75               7.39
140                    FBC Melgar         Comerciantes Unidos     11/08/2024 (Sunday)               1.17               6.50              12.50               11.33              1.15              6.75             14.50              13.35
141                   Alajuelense               Perez Zeledon     11/08/2024 (Sunday)               1.67               3.50               4.60                2.93              1.27              4.90             10.50               9.23
142      Gungahlin United Women's              ANU FC Women's     11/08/2024 (Sunday)               1.02              12.50              25.00               23.98              1.03             13.00             26.00              24.97
143      Canberra Olympic Women's  Tuggeranong United Women's     11/08/2024 (Sunday)               1.03              11.50              25.00               23.97              1.01             16.00             37.00              35.99
144        Melbourne Knights(U23)      Dandenong Thunder(U23)     11/08/2024 (Sunday)               1.18               7.00               9.00                7.82              1.19              7.25              9.00               7.81
145                    Gjovik Lyn             Stjordals Blink     11/08/2024 (Sunday)               9.00               5.75               1.25                7.75             10.00              5.75              1.23               8.77
146                      Jarfalla                  Dalkurd FF     11/08/2024 (Sunday)               1.14               6.75               8.75                7.61              1.13              6.75             10.00               8.87
147              FC Nordsjaelland                      Lyngby     11/08/2024 (Sunday)               1.36               5.00               6.50                5.14              1.32              5.25              9.00               7.68
148                 Ilves Tampere               IFK Mariehamn     11/08/2024 (Sunday)               1.25               5.25              11.00                9.75              1.30              5.00              8.25               6.95
149                     Valerenga                     Raufoss     11/08/2024 (Sunday)               1.26               5.50               8.00                6.74              1.19              6.75             10.00               8.81
150                 Metta/LU Riga                     Riga FC     11/08/2024 (Sunday)              10.00               6.50               1.18                8.82             18.00              8.50              1.09              16.91
151            Vikingur Reykjavik                      Vestri     11/08/2024 (Sunday)               1.14               8.25              12.00               10.86              1.16              7.00             11.50              10.34
152                          Jaro                        JaPS     11/08/2024 (Sunday)               1.23               5.75               8.75                7.52              1.20              6.25             11.00               9.80
153           FC Shakhtar Donetsk           Polissya Zhytomyr     11/08/2024 (Sunday)               1.32               4.90               7.75                6.43              1.24              5.25             10.50               9.26
154           Rigas Futbola Skola             Grobinas SC/LFS     11/08/2024 (Sunday)               1.08               9.00              15.00               13.92              1.10              9.00             15.00              13.90
155               Shamrock Rovers             Drogheda United     11/08/2024 (Sunday)               1.26               5.50               8.75                7.49              1.37              4.80              6.75               5.38
156                FK IMT Belgrad           Partizan Belgrade     11/08/2024 (Sunday)               7.50               4.50               1.35                6.15              8.75              4.90              1.30               7.45
157                 CA Colegiales                 Sacachispas     11/08/2024 (Sunday)               1.37               3.90               8.50                7.13              1.40              3.90              8.50               7.10
158                    Al Ahly SC                         ZED     11/08/2024 (Sunday)               1.30               4.90               9.00                7.70              1.26              5.00             10.50               9.24
159                    Ankaragucu               Sanliurfaspor     11/08/2024 (Sunday)               1.31               4.70               9.50                8.19              1.33              4.60              8.75               7.42
160                         Valur                HK Kopavogur     11/08/2024 (Sunday)               1.21               6.75               8.75                7.54              1.17              6.75             12.00              10.83
161                        Torino         Cosenza Calcio 1914     11/08/2024 (Sunday)               1.26               5.50               9.50                8.24              1.27              5.25              9.00               7.73
162                   Llaneros FC                 Atletico FC     12/08/2024 (Monday)               1.22               5.00              13.00               11.78              1.22              5.25             13.50              12.28
163                 Cerro Porteno              Sol de America     12/08/2024 (Monday)               1.27               4.90              10.50                9.23              1.32              4.70              8.50               7.18
164             Pirin Blagoevgrad            Botev Plovdiv II     12/08/2024 (Monday)               1.31               4.30               7.25                5.94              1.25              4.40              9.50               8.25
165             Cherno More Varna           POFC Botev Vratsa     12/08/2024 (Monday)               1.30               4.90               8.75                7.45              1.29              4.60             10.50               9.21
166                      Cagliari                   Carrarese     12/08/2024 (Monday)               1.29               4.90               9.00                7.71              1.37              4.50              7.50               6.13
167                  FC Dobrudzha                 PFC Nesebar    13/08/2024 (Tuesday)               1.22               4.90               8.75                7.53              1.23              4.70              9.00               7.77
168              Zalgiris Vilnius              FK TransINVEST  14/08/2024 (Wednesday)               1.17               5.75              14.50               13.33              1.19              5.75             11.50              10.31
169                    CA Penarol               The Strongest   15/08/2024 (Thursday)               1.21               5.50              12.50               11.29              1.27              5.00             10.50               9.23
